,na,nb,objective,rbf_variance,rbf_lengthscale,noise_variance,train_rms,val_rms,test_rms
42,6,8,-68799.33882761002,0.8818380111408954,"[20.303518443305293, 19.456218945062307, 18.920731405167345, 19.1143799142402, 19.960210011194558, 21.188244474461438, 18.17614752750559, 17.766214192488363, 17.152364541025214, 16.49751655304245, 15.915947090413168, 15.670208697423497, 15.811833296960708, 16.229117939168656]",6.616188218452631e-05,0.0038567037339419124,0.0038179471484680646,0.00531578279059957
43,6,9,-69024.20461043715,1.3775451142002844,"[27.283187032314476, 25.5909230358002, 23.990018641164653, 23.787353543886688, 25.488747707339378, 27.816963170869005, 23.333508006824996, 22.225340525196817, 21.24531026933433, 20.496417264723902, 20.138635946311453, 20.270907108544364, 20.833959141912587, 21.662948490112324, 22.58221634898451]",7.084189641455594e-05,0.0037691939555722794,0.003676906975066971,0.004527470491381562
44,6,10,-69104.17145571113,1.670748229115103,"[32.90904657344241, 30.446399193320175, 28.462770551276854, 28.94982363396639, 32.096623627873676, 35.7717270235353, 28.213412296409363, 26.162123276561875, 24.686592854609238, 23.929975257686184, 23.840669265784026, 24.17635257010869, 24.717105333620374, 25.118911297757847, 25.517666029247994, 25.332107451489357]",7.17661058551048e-05,0.0037596383413589208,0.0036755325504140802,0.004623045711498288
45,7,2,-68213.85418105125,2.2476046779322325,"[23.10069852562756, 20.71327668475826, 19.444066036838233, 18.515992449734828, 19.618987279746943, 21.160074019237765, 24.593192198414897, 24.218634801731486, 14.165456899384221]",8.095909467532754e-05,0.0040744955236493635,0.003939273486456598,0.004114557321550078
46,7,3,-68985.8418609798,3.016810428164793,"[38.54873493427742, 34.13227529634615, 31.737625695627518, 31.531399706640535, 32.46378643612167, 34.699672138619604, 39.85763210289667, 41.52365237161868, 40.51647595101268, 16.588938861338523]",7.705017008671945e-05,0.003967310047829492,0.0038530226116155948,0.0040179677968025795
47,7,4,-69462.82285833359,2.0599485523717576,"[27.724478178271976, 26.529054040410717, 25.5126910612189, 24.561627149349583, 24.513604724270966, 25.341355095289348, 27.457562286046883, 26.674541188623234, 27.15951848149747, 24.677531105419572, 14.714554820452866]",7.247290248585648e-05,0.003824386151224778,0.0036651430110231854,0.0038189126884704662
48,7,5,-69727.09294342995,1.5720500352131823,"[23.63834802497495, 22.370807081329485, 21.162581451132198, 20.26597454822657, 20.289609090335688, 21.240598366423654, 23.145661587028446, 22.792277643375392, 21.98457014514628, 20.900968873616204, 17.97984134833192, 14.154849075687947]",6.739104324601988e-05,0.003719833430767913,0.0035778328097995455,0.0038201201917964587
49,7,6,-70098.61744382977,2.2753988761956143,"[26.980237242009693, 25.63054835080647, 24.641470164112864, 24.544278538005784, 25.539545932551952, 26.88488066298864, 28.302901740055425, 26.789500579600887, 25.952183287475535, 24.449189639955893, 21.976763738675963, 19.674232540337833, 18.751397759766306]",6.890939101718773e-05,0.003708613200406315,0.0035714879589406664,0.003959598442460019
50,7,7,-69636.20712947845,2.0310005038600587,"[25.11808589424393, 23.9326549678473, 22.92645049065242, 22.754247754371555, 23.778534544275523, 25.43062650880826, 26.996733716826903, 24.43344342290407, 24.03369981202205, 23.018114925083314, 21.614930344953834, 20.252710834627266, 19.62217998972952, 19.833566383808343]",6.650775971988817e-05,0.00376246356667804,0.003670911843376136,0.0042598068118600615
51,7,8,-69603.58072820306,4.360788640829521,"[40.15817765042395, 38.14279578235093, 36.223089648316574, 35.35591119690415, 36.375367283921584, 38.8126691438936, 41.786965883228845, 36.538395494950656, 35.79924072040706, 34.50186825911743, 32.99402987232991, 31.553567583127773, 30.688764251056913, 30.64244114014562, 31.275917105031002]",6.850253683925644e-05,0.0037903224734342827,0.0036869629252313757,0.004335349694407579
52,7,9,-69149.28000661731,1.6724507706278848,"[27.307357866180844, 25.726188789036115, 23.580446212911358, 21.93184083602723, 22.371227571710797, 25.06300212612058, 28.167092872656475, 22.478169606826913, 22.0055689974615, 21.55580614038458, 20.99625917864167, 20.384939741027328, 19.806048445436588, 19.435128819491286, 19.384497247713945, 19.705855323864466]",7.704829819908496e-05,0.003767848761176806,0.0036623267606057637,0.004578839174126974
53,7,10,-69887.55540272593,5.8376280905864135,"[51.690031195805396, 47.73646319424534, 42.8801379970194, 40.01656094967832, 42.52982576949966, 49.22266530564115, 55.87275585289435, 42.11406917339291, 39.72051566075799, 38.349038748869745, 37.74230157660895, 37.501621434042065, 37.28687728691111, 37.0151893874107, 36.59922264414984, 36.433628142452754, 36.196738763273856]",6.864433792763875e-05,0.0037426667258941564,0.0036391331336897456,0.0044086219258793104
54,8,2,-68029.99278244376,2.8309302323674603,"[36.25128767336761, 32.29843694221794, 29.849745905894476, 28.394322043361242, 27.982398563366324, 28.906790198212484, 31.673294265561594, 38.31597966850714, 32.77742936103977, 17.936756629426878]",8.235422051873757e-05,0.0041117918400350355,0.003992195682464006,0.0041862126674765575
55,8,3,-68175.358723104,1.3585808226383942,"[25.814594957235766, 23.927961444937356, 22.311665998364116, 21.332487998983577, 21.415632281466078, 22.4559619590655, 23.748820238946376, 25.469900719232466, 24.59139651986043, 28.751739623190726, 13.329500130422524]",8.193120130787902e-05,0.003994927212731326,0.0038848982627296847,0.00405384049505076
